question_id,career_name,weight
1,Software Engineer,5
2,Software Engineer,5
11,Software Engineer,5
12,Software Engineer,5
14,Software Engineer,5
34,Software Engineer,5
1,Web Developer,5
2,Web Developer,5
11,Web Developer,5
12,Web Developer,5
14,Web Developer,5
34,Web Developer,5
1,Mobile App Developer,5
2,Mobile App Developer,5
11,Mobile App Developer,5
12,Mobile App Developer,5
14,Mobile App Developer,5
34,Mobile App Developer,5
1,Data Scientist,5
2,Data Scientist,5
11,Data Scientist,5
12,Data Scientist,5
14,Data Scientist,5
34,Data Scientist,5
1,Data Analyst,5
2,Data Analyst,5
11,Data Analyst,5
12,Data Analyst,5
14,Data Analyst,5
34,Data Analyst,5
1,Machine Learning Engineer,5
2,Machine Learning Engineer,5
11,Machine Learning Engineer,5
12,Machine Learning Engineer,5
14,Machine Learning Engineer,5
34,Machine Learning Engineer,5
1,Cybersecurity Analyst,5
2,Cybersecurity Analyst,5
11,Cybersecurity Analyst,5
12,Cybersecurity Analyst,5
14,Cybersecurity Analyst,5
34,Cybersecurity Analyst,5
1,Network Engineer,5
2,Network Engineer,5
11,Network Engineer,5
12,Network Engineer,5
14,Network Engineer,5
34,Network Engineer,5
1,Cloud Engineer,5
2,Cloud Engineer,5
11,Cloud Engineer,5
12,Cloud Engineer,5
14,Cloud Engineer,5
34,Cloud Engineer,5
1,DevOps Engineer,5
2,DevOps Engineer,5
11,DevOps Engineer,5
12,DevOps Engineer,5
14,DevOps Engineer,5
34,DevOps Engineer,5
1,Database Administrator,5
2,Database Administrator,5
11,Database Administrator,5
12,Database Administrator,5
14,Database Administrator,5
34,Database Administrator,5
1,UI/UX Designer,5
2,UI/UX Designer,5
11,UI/UX Designer,5
12,UI/UX Designer,5
14,UI/UX Designer,5
34,UI/UX Designer,5
1,Product Manager,5
2,Product Manager,5
11,Product Manager,5
12,Product Manager,5
14,Product Manager,5
34,Product Manager,5
23,Accountant,3
31,Accountant,3
35,Accountant,3
23,Auditor,3
31,Auditor,3
35,Auditor,3
23,Financial Analyst,3
31,Financial Analyst,3
35,Financial Analyst,3
23,Tax Consultant,3
31,Tax Consultant,3
35,Tax Consultant,3
23,Banker,3
31,Banker,3
35,Banker,3
23,Business Analyst,3
31,Business Analyst,3
35,Business Analyst,3
23,Management Consultant,3
31,Management Consultant,3
35,Management Consultant,3
5,Lawyer,5
22,Lawyer,5
24,Lawyer,5
25,Lawyer,5
5,Corporate Lawyer,5
22,Corporate Lawyer,5
24,Corporate Lawyer,5
25,Corporate Lawyer,5
5,Legal Adviser,5
22,Legal Adviser,5
24,Legal Adviser,5
25,Legal Adviser,5
5,Compliance Officer,5
22,Compliance Officer,5
24,Compliance Officer,5
25,Compliance Officer,5
5,Legal Researcher,5
22,Legal Researcher,5
24,Legal Researcher,5
25,Legal Researcher,5
5,Journalist,5
24,Journalist,5
33,Journalist,5
5,Public Relations Officer,5
24,Public Relations Officer,5
33,Public Relations Officer,5
5,Broadcaster,5
24,Broadcaster,5
33,Broadcaster,5
5,Content Creator,5
24,Content Creator,5
33,Content Creator,5
5,Digital Marketer,5
24,Digital Marketer,5
33,Digital Marketer,5
5,Social Media Manager,5
24,Social Media Manager,5
33,Social Media Manager,5
5,Copywriter,5
24,Copywriter,5
33,Copywriter,5
6,Doctor,5
7,Doctor,5
20,Doctor,3
25,Doctor,5
30,Doctor,5
6,Pharmacist,5
7,Pharmacist,5
20,Pharmacist,3
25,Pharmacist,5
30,Pharmacist,5
6,Nurse,5
7,Nurse,5
20,Nurse,3
25,Nurse,5
30,Nurse,5
6,Medical Laboratory Scientist,5
7,Medical Laboratory Scientist,5
20,Medical Laboratory Scientist,3
25,Medical Laboratory Scientist,5
30,Medical Laboratory Scientist,5
6,Biochemist,5
7,Biochemist,5
20,Biochemist,3
25,Biochemist,5
